Date and time (UTC),Rocket,Flight number,Launch site,LSP,Payload (⚀ = CubeSat),Operator,Orbit,Function,Decay (UTC),Outcome, Remarks

7 January 02:19:21,Falcon 9 Block 5,Starlink V1.0-L2,Cape Canaveral SLC-40,SpaceX,Starlink x 60, SpaceX, Low Earth, Communications, In orbit, Operational,

7 January 15:20:14,Long March 3B/E,3B-Y62,Xichang LC-2,CASC,TJSW-5,Ministry of Agriculture and Rural Affairs,Geosynchronous,Technology demonstration,In orbit,Operational

15 January 02:53,Long March 2D,2D-Y58,Taiyuan LC-9,CASC,"Jilin-1 Kuanfu-01 (Wideband-01) 
ÑuSat 7 (Sophie) 
ÑuSat 8 (Marie) 
Tianqi-5","Chang Guang Satellite Technology
Satellogic
Satellogic
Guodian Gaoke","Low Earth (SSO)
Low Earth (SSO)
Low Earth (SSO)
Low Earth (SSO)","Earth observation
Earth observation
Earth observation
Tech demonstration","In orbit
In orbit
In orbit
2020 (TBD),LauncherOne,,"Cosmic Girl, Guam Airport ","Cosmic Girl, Guam Airport ",Virgin Orbit,Virgin Orbit
2020 (TBD),⚀  Ignis,Astro Digital,Low Earth,Technology demonstration,,
2020 (TBD),Long March 2D,2D-Yxx,Jiuquan SLS-2,Jiuquan SLS-2,CASC,CASC
2020 (TBD),Shijian 19,CAST,Low Earth,Technology demonstration,,
2020 (TBD),First flight of the New Generation Recoverable Satellite (NGRS).,First flight of the New Generation Recoverable Satellite (NGRS).,First flight of the New Generation Recoverable Satellite (NGRS).,First flight of the New Generation Recoverable Satellite (NGRS).,First flight of the New Generation Recoverable Satellite (NGRS).,First flight of the New Generation Recoverable Satellite (NGRS).
2020 (TBD),Long March 3B/E,,Xichang or Wenchang,Xichang or Wenchang,CASC,CASC
2020 (TBD),Fengyun 4B,CMA,Geosynchronous,Meteorology,,
2020 (TBD),Long March 4B,,Taiyuan LC-9,Taiyuan LC-9,CASC,CASC
2020 (TBD),HaiYang 2C,Ministry of Natural Resources,Low Earth (SSO),Earth observation,,
2020 (TBD),Long March 4B,,Taiyuan LC-9,Taiyuan LC-9,CASC,CASC
2020 (TBD),HaiYang 2D,Ministry of Natural Resources,Low Earth,Earth observation,,
2020 (TBD),Long March 4C,,Taiyuan LC-9,Taiyuan LC-9,CASC,CASC
2020 (TBD),Fengyun 3E ,CMA,Low Earth (SSO),Meteorology,,
2020 (TBD),Long March 4C,,Jiuquan or Taiyuan,Jiuquan or Taiyuan,CASC,CASC
2020 (TBD),WCOM,CAS,Low Earth (SSO),Earth observation,,
2020 (TBD),Long March 6,,Taiyuan LC-16,Taiyuan LC-16,CASC,CASC
2020 (TBD),HaiYang 3A,Ministry of Natural Resources,Low Earth (SSO),Earth observation,,
2020 (TBD),Long March 6A,,Taiyuan LC-16,Taiyuan LC-16,CASC,CASC
2020 (TBD),TBA,TBA,Low Earth (SSO),Flight test,,
2020 (TBD),First flight of Long March 6A.,First flight of Long March 6A.,First flight of Long March 6A.,First flight of Long March 6A.,First flight of Long March 6A.,First flight of Long March 6A.
2020 (TBD),Long March 8,,Wenchang LC-2,Wenchang LC-2,CASC,CASC
2020 (TBD),TBA,CASC,Low Earth (SSO),Flight test,,
2020 (TBD),"First flight of Long March 8, which will test vertical takeoff, vertical landing technologies.","First flight of Long March 8, which will test vertical takeoff, vertical landing technologies.","First flight of Long March 8, which will test vertical takeoff, vertical landing technologies.","First flight of Long March 8, which will test vertical takeoff, vertical landing technologies.","First flight of Long March 8, which will test vertical takeoff, vertical landing technologies.","First flight of Long March 8, which will test vertical takeoff, vertical landing technologies."
2020 (TBD),Long March TBA,,TBA,TBA,CASC,CASC
2020 (TBD),HaiYang 3B,Ministry of Natural Resources,Low Earth (SSO),Earth observation,,
2020 (TBD),Long March TBA,,TBA,TBA,CASC,CASC
2020 (TBD),HaiYang XX,Ministry of Natural Resources,Low Earth,Earth observation,,
2020 (TBD),Ocean Salinity Observation Satellite (Experimental).,Ocean Salinity Observation Satellite (Experimental).,Ocean Salinity Observation Satellite (Experimental).,Ocean Salinity Observation Satellite (Experimental).,Ocean Salinity Observation Satellite (Experimental).,Ocean Salinity Observation Satellite (Experimental).
2020 (TBD),Long March TBA,,Wenchang,Wenchang,CASC,CASC
2020 (TBD),Taihu-1,Wuxi Kalman Navigation Technology,Low Earth,Earth observationAIS ship tracking,,
2020 (TBD),Nebula 1,,TBA,TBA,Deep Blue Aerospace,Deep Blue Aerospace
2020 (TBD),TBA,TBA,Low Earth,TBA,,
2020 (TBD),First flight of Nebula 1.,First flight of Nebula 1.,First flight of Nebula 1.,First flight of Nebula 1.,First flight of Nebula 1.,First flight of Nebula 1.
2020 (TBD),PSLV,,Satish Dhawan,Satish Dhawan,ISRO,ISRO
2020 (TBD),CCI-Sat,ISRO,Low Earth,Signals intelligence,,
2020 (TBD),PSLV-XL ,,Satish Dhawan,Satish Dhawan,ISRO,ISRO
2020 (TBD),Cartosat-3A,ISRO,Low Earth (SSO),Earth observation,,
2020 (TBD),PSLV-XL,,Satish Dhawan SLP,Satish Dhawan SLP,ISRO,ISRO
2020 (TBD),GSAT-12R,ISRO,Geosynchronous,Communications,,
2020 (TBD),Replacement for GSAT-12.,Replacement for GSAT-12.,Replacement for GSAT-12.,Replacement for GSAT-12.,Replacement for GSAT-12.,Replacement for GSAT-12.
2020 (TBD),PSLV,C51,Satish Dhawan FLP,Satish Dhawan FLP,ISRO,ISRO
2020 (TBD),HRSAT-1 × 3,ISRO,Low Earth (SSO),Earth observation,,
2020 (TBD),PSLV-XL,C52,Satish Dhawan SLP,Satish Dhawan SLP,ISRO,ISRO
2020 (TBD),IRNSS-1J,ISRO,Geosynchronous,Navigation,,
2020 (TBD),PSLV-CA,,Satish Dhawan,Satish Dhawan,ISRO,ISRO
2020 (TBD),Oceansat-3,ISRO,Low Earth (SSO),Oceanography,,
2020 (TBD),PSLV,,Satish Dhawan,Satish Dhawan,ISRO,ISRO
2020 (TBD),Resourcesat-3S,ISRO,Low Earth (SSO),Earth observation,,
2020 (TBD),PSLV-XL,,Satish Dhawan FLP,Satish Dhawan FLP,ISRO,ISRO
2020 (TBD),RISAT-2A,ISRO,Low Earth (SSO),Earth observation,,
2020 (TBD),Simorgh,,Semnan LP-2,Semnan LP-2,ISA,ISA
2020 (TBD),Zafar 2,IUST,Low Earth,Earth observation,,
2020 (TBD),Soyuz-2.1a,,Plesetsk Site 43/4,Plesetsk Site 43/4,RVSN RF,RVSN RF
2020 (TBD),Bars-M 3L,VKS,Low Earth (SSO),Reconnaissance,,
2020 (TBD),Soyuz-2.1a / Fregat-M,,Plesetsk Site 43/x,Plesetsk Site 43/x,RVSN RF,RVSN RF
2020 (TBD),Meridian-M 10 (20L),Ministry of Defence,Molniya,Communications,,
2020 (TBD),Soyuz-2.1a / Fregat-M,,Plesetsk Site 43/4,Plesetsk Site 43/4,RVSN RF,RVSN RF
2020 (TBD),Neitron №1,Ministry of Defence,?,Reconnaissance,,
2020 (TBD),Soyuz-2.1b,,Plesetsk Site 43/4,Plesetsk Site 43/4,RVSN RF,RVSN RF
2020 (TBD),Pion-NKS 901,VKS,Low Earth (SSO),ELINT,,
2020 (TBD),Part of the Russian Liana ELINT system.,Part of the Russian Liana ELINT system.,Part of the Russian Liana ELINT system.,Part of the Russian Liana ELINT system.,Part of the Russian Liana ELINT system.,Part of the Russian Liana ELINT system.
2020 (TBD),SSLV,D2,Satish Dhawan FLP,Satish Dhawan FLP,ISRO,ISRO
2020 (TBD),BlackSky Global 5,BlackSky Global,Low Earth (SSO),Earth observation,,
2020 (TBD),BlackSky Global 6,BlackSky Global,Low Earth (SSO),Earth observation,,
2020 (TBD),BlackSky Global 9,BlackSky Global,Low Earth (SSO),Earth observation,,
2020 (TBD),BlackSky Global 10,BlackSky Global,Low Earth (SSO),Earth observation,,
2020 (TBD),First commercial SSLV launch.,First commercial SSLV launch.,First commercial SSLV launch.,First commercial SSLV launch.,First commercial SSLV launch.,First commercial SSLV launch.
2020 (TBD),Vega-C,,Kourou ELV,Kourou ELV,Arianespace,Arianespace
2020 (TBD),Pléiades-Neo 1,CNES,Low Earth,Earth observation,,
2020 (TBD),Pléiades-Neo 2,CNES,Low Earth,Earth observation,,
2020 (TBD),TBA,,TBA,TBA,TBA,TBA
2020 (TBD),EROS-C1,ImageSat,Low Earth (SSO),Earth observation,,
2020 (TBD),First of three satellites for the EROS-NG constellation.,First of three satellites for the EROS-NG constellation.,First of three satellites for the EROS-NG constellation.,First of three satellites for the EROS-NG constellation.,First of three satellites for the EROS-NG constellation.,First of three satellites for the EROS-NG constellation.
